ID,Bee_wasp,Bee_wasp_text,Trial,Block,Choice
1,1,bee,1,10,0
1,1,bee,2,10,0
1,1,bee,3,10,0
1,1,bee,4,10,1
1,1,bee,5,10,0
1,1,bee,6,10,1
1,1,bee,7,10,0
1,1,bee,8,10,1
1,1,bee,9,10,1
1,1,bee,10,10,1
1,1,bee,11,20,0
1,1,bee,12,20,1
1,1,bee,13,20,1
1,1,bee,14,20,1
1,1,bee,15,20,0
1,1,bee,16,20,0
1,1,bee,17,20,0
1,1,bee,18,20,1
1,1,bee,19,20,1
1,1,bee,20,20,0
1,1,bee,21,30,0
1,1,bee,22,30,0
1,1,bee,23,30,1
1,1,bee,24,30,1
1,1,bee,25,30,1
1,1,bee,26,30,1
1,1,bee,27,30,1
1,1,bee,28,30,1
1,1,bee,29,30,1
1,1,bee,30,30,0
1,1,bee,31,40,1
1,1,bee,32,40,1
1,1,bee,33,40,1
1,1,bee,34,40,1
1,1,bee,35,40,1
1,1,bee,36,40,1
1,1,bee,37,40,1
1,1,bee,38,40,0
1,1,bee,39,40,1
1,1,bee,40,40,0
1,1,bee,41,50,1
1,1,bee,42,50,1
1,1,bee,43,50,1
1,1,bee,44,50,1
1,1,bee,45,50,1
1,1,bee,46,50,0
1,1,bee,47,50,1
1,1,bee,48,50,0
1,1,bee,49,50,1
1,1,bee,50,50,1
1,1,bee,51,60,0
1,1,bee,52,60,0
1,1,bee,53,60,0
1,1,bee,54,60,0
1,1,bee,55,60,1
1,1,bee,56,60,0
1,1,bee,57,60,1
1,1,bee,58,60,0
1,1,bee,59,60,1
1,1,bee,60,60,1
1,1,bee,61,70,0
1,1,bee,62,70,1
1,1,bee,63,70,1
1,1,bee,64,70,1
1,1,bee,65,70,1
1,1,bee,66,70,1
1,1,bee,67,70,1
1,1,bee,68,70,1
1,1,bee,69,70,1
1,1,bee,70,70,1
2,1,bee,1,10,1
2,1,bee,2,10,0
2,1,bee,3,10,0
2,1,bee,4,10,0
2,1,bee,5,10,1
2,1,bee,6,10,1
2,1,bee,7,10,0
2,1,bee,8,10,1
2,1,bee,9,10,0
2,1,bee,10,10,0
2,1,bee,11,20,0
2,1,bee,12,20,0
2,1,bee,13,20,0
2,1,bee,14,20,1
2,1,bee,15,20,0
2,1,bee,16,20,1
2,1,bee,17,20,0
2,1,bee,18,20,0
2,1,bee,19,20,1
2,1,bee,20,20,0
2,1,bee,21,30,1
2,1,bee,22,30,0
2,1,bee,23,30,1
2,1,bee,24,30,0
2,1,bee,25,30,1
2,1,bee,26,30,1
2,1,bee,27,30,0
2,1,bee,28,30,1
2,1,bee,29,30,0
2,1,bee,30,30,0
2,1,bee,31,40,1
2,1,bee,32,40,1
2,1,bee,33,40,1
2,1,bee,34,40,1
2,1,bee,35,40,0
2,1,bee,36,40,1
2,1,bee,37,40,1
2,1,bee,38,40,1
2,1,bee,39,40,0
2,1,bee,40,40,1
2,1,bee,41,50,0
2,1,bee,42,50,0
2,1,bee,43,50,0
2,1,bee,44,50,1
2,1,bee,45,50,0
2,1,bee,46,50,1
2,1,bee,47,50,1
2,1,bee,48,50,0
2,1,bee,49,50,1
2,1,bee,50,50,0
2,1,bee,51,60,0
2,1,bee,52,60,1
2,1,bee,53,60,0
2,1,bee,54,60,0
2,1,bee,55,60,1
2,1,bee,56,60,1
2,1,bee,57,60,1
2,1,bee,58,60,1
2,1,bee,59,60,1
2,1,bee,60,60,1
2,1,bee,61,70,1
2,1,bee,62,70,0
2,1,bee,63,70,0
2,1,bee,64,70,1
2,1,bee,65,70,1
2,1,bee,66,70,1
2,1,bee,67,70,1
2,1,bee,68,70,1
2,1,bee,69,70,0
2,1,bee,70,70,1
3,1,bee,1,10,0
3,1,bee,2,10,0
3,1,bee,3,10,0
3,1,bee,4,10,1
3,1,bee,5,10,0
3,1,bee,6,10,0
3,1,bee,7,10,0
3,1,bee,8,10,0
3,1,bee,9,10,0
3,1,bee,10,10,1
3,1,bee,11,20,0
3,1,bee,12,20,0
3,1,bee,13,20,0
3,1,bee,14,20,1
3,1,bee,15,20,0
3,1,bee,16,20,0
3,1,bee,17,20,1
3,1,bee,18,20,0
3,1,bee,19,20,1
3,1,bee,20,20,1
3,1,bee,21,30,0
3,1,bee,22,30,0
3,1,bee,23,30,1
3,1,bee,24,30,0
3,1,bee,25,30,0
3,1,bee,26,30,0
3,1,bee,27,30,0
3,1,bee,28,30,1
3,1,bee,29,30,1
3,1,bee,30,30,0
3,1,bee,31,40,0
3,1,bee,32,40,0
3,1,bee,33,40,0
3,1,bee,34,40,1
3,1,bee,35,40,1
3,1,bee,36,40,1
3,1,bee,37,40,0
3,1,bee,38,40,1
3,1,bee,39,40,0
3,1,bee,40,40,1
3,1,bee,41,50,1
3,1,bee,42,50,0
3,1,bee,43,50,0
3,1,bee,44,50,1
3,1,bee,45,50,0
3,1,bee,46,50,1
3,1,bee,47,50,0
3,1,bee,48,50,1
3,1,bee,49,50,1
3,1,bee,50,50,1
3,1,bee,51,60,0
3,1,bee,52,60,0
3,1,bee,53,60,0
3,1,bee,54,60,1
3,1,bee,55,60,0
3,1,bee,56,60,1
3,1,bee,57,60,1
3,1,bee,58,60,0
3,1,bee,59,60,1
3,1,bee,60,60,0
3,1,bee,61,70,0
3,1,bee,62,70,1
3,1,bee,63,70,0
3,1,bee,64,70,1
3,1,bee,65,70,0
3,1,bee,66,70,1
3,1,bee,67,70,1
3,1,bee,68,70,1
3,1,bee,69,70,0
3,1,bee,70,70,1
4,1,bee,1,10,0
4,1,bee,2,10,1
4,1,bee,3,10,1
4,1,bee,4,10,0
4,1,bee,5,10,0
4,1,bee,6,10,1
4,1,bee,7,10,1
4,1,bee,8,10,0
4,1,bee,9,10,0
4,1,bee,10,10,0
4,1,bee,11,20,0
4,1,bee,12,20,0
4,1,bee,13,20,1
4,1,bee,14,20,1
4,1,bee,15,20,0
4,1,bee,16,20,1
4,1,bee,17,20,1
4,1,bee,18,20,1
4,1,bee,19,20,0
4,1,bee,20,20,1
4,1,bee,21,30,0
4,1,bee,22,30,1
4,1,bee,23,30,1
4,1,bee,24,30,1
4,1,bee,25,30,1
4,1,bee,26,30,1
4,1,bee,27,30,1
4,1,bee,28,30,1
4,1,bee,29,30,1
4,1,bee,30,30,0
4,1,bee,31,40,1
4,1,bee,32,40,1
4,1,bee,33,40,0
4,1,bee,34,40,1
4,1,bee,35,40,1
4,1,bee,36,40,1
4,1,bee,37,40,1
4,1,bee,38,40,1
4,1,bee,39,40,0
4,1,bee,40,40,1
4,1,bee,41,50,1
4,1,bee,42,50,1
4,1,bee,43,50,1
4,1,bee,44,50,1
4,1,bee,45,50,1
4,1,bee,46,50,1
4,1,bee,47,50,1
4,1,bee,48,50,0
4,1,bee,49,50,1
4,1,bee,50,50,0
4,1,bee,51,60,1
4,1,bee,52,60,1
4,1,bee,53,60,1
4,1,bee,54,60,1
4,1,bee,55,60,1
4,1,bee,56,60,0
4,1,bee,57,60,1
4,1,bee,58,60,1
4,1,bee,59,60,0
4,1,bee,60,60,1
4,1,bee,61,70,0
4,1,bee,62,70,1
4,1,bee,63,70,1
4,1,bee,64,70,0
4,1,bee,65,70,1
4,1,bee,66,70,1
4,1,bee,67,70,0
4,1,bee,68,70,1
4,1,bee,69,70,1
4,1,bee,70,70,1
5,1,bee,1,10,0
5,1,bee,2,10,0
5,1,bee,3,10,0
5,1,bee,4,10,0
5,1,bee,5,10,0
5,1,bee,6,10,0
5,1,bee,7,10,1
5,1,bee,8,10,1
5,1,bee,9,10,1
5,1,bee,10,10,0
5,1,bee,11,20,0
5,1,bee,12,20,1
5,1,bee,13,20,1
5,1,bee,14,20,1
5,1,bee,15,20,1
5,1,bee,16,20,0
5,1,bee,17,20,0
5,1,bee,18,20,1
5,1,bee,19,20,1
5,1,bee,20,20,1
5,1,bee,21,30,1
5,1,bee,22,30,1
5,1,bee,23,30,1
5,1,bee,24,30,0
5,1,bee,25,30,0
5,1,bee,26,30,1
5,1,bee,27,30,0
5,1,bee,28,30,1
5,1,bee,29,30,1
5,1,bee,30,30,1
5,1,bee,31,40,0
5,1,bee,32,40,0
5,1,bee,33,40,1
5,1,bee,34,40,0
5,1,bee,35,40,1
5,1,bee,36,40,1
5,1,bee,37,40,0
5,1,bee,38,40,1
5,1,bee,39,40,1
5,1,bee,40,40,1
5,1,bee,41,50,1
5,1,bee,42,50,1
5,1,bee,43,50,1
5,1,bee,44,50,1
5,1,bee,45,50,1
5,1,bee,46,50,0
5,1,bee,47,50,0
5,1,bee,48,50,1
5,1,bee,49,50,1
5,1,bee,50,50,1
5,1,bee,51,60,0
5,1,bee,52,60,1
5,1,bee,53,60,1
5,1,bee,54,60,1
5,1,bee,55,60,1
5,1,bee,56,60,0
5,1,bee,57,60,1
5,1,bee,58,60,1
5,1,bee,59,60,1
5,1,bee,60,60,1
5,1,bee,61,70,1
5,1,bee,62,70,0
5,1,bee,63,70,0
5,1,bee,64,70,1
5,1,bee,65,70,0
5,1,bee,66,70,1
5,1,bee,67,70,0
5,1,bee,68,70,1
5,1,bee,69,70,1
5,1,bee,70,70,1
6,1,bee,1,10,0
6,1,bee,2,10,0
6,1,bee,3,10,0
6,1,bee,4,10,0
6,1,bee,5,10,0
6,1,bee,6,10,0
6,1,bee,7,10,1
6,1,bee,8,10,0
6,1,bee,9,10,0
6,1,bee,10,10,1
6,1,bee,11,20,0
6,1,bee,12,20,0
6,1,bee,13,20,1
6,1,bee,14,20,1
6,1,bee,15,20,1
6,1,bee,16,20,0
6,1,bee,17,20,1
6,1,bee,18,20,1
6,1,bee,19,20,0
6,1,bee,20,20,1
6,1,bee,21,30,1
6,1,bee,22,30,1
6,1,bee,23,30,1
6,1,bee,24,30,1
6,1,bee,25,30,1
6,1,bee,26,30,1
6,1,bee,27,30,1
6,1,bee,28,30,1
6,1,bee,29,30,1
6,1,bee,30,30,1
6,1,bee,31,40,0
6,1,bee,32,40,1
6,1,bee,33,40,1
6,1,bee,34,40,1
6,1,bee,35,40,0
6,1,bee,36,40,1
6,1,bee,37,40,0
6,1,bee,38,40,1
6,1,bee,39,40,0
6,1,bee,40,40,0
6,1,bee,41,50,0
6,1,bee,42,50,1
6,1,bee,43,50,0
6,1,bee,44,50,0
6,1,bee,45,50,1
6,1,bee,46,50,1
6,1,bee,47,50,1
6,1,bee,48,50,0
6,1,bee,49,50,1
6,1,bee,50,50,0
6,1,bee,51,60,1
6,1,bee,52,60,0
6,1,bee,53,60,0
6,1,bee,54,60,1
6,1,bee,55,60,0
6,1,bee,56,60,1
6,1,bee,57,60,1
6,1,bee,58,60,0
6,1,bee,59,60,1
6,1,bee,60,60,0
6,1,bee,61,70,0
6,1,bee,62,70,0
6,1,bee,63,70,0
6,1,bee,64,70,1
6,1,bee,65,70,1
6,1,bee,66,70,1
6,1,bee,67,70,0
6,1,bee,68,70,1
6,1,bee,69,70,0
6,1,bee,70,70,1
7,1,bee,1,10,1
7,1,bee,2,10,1
7,1,bee,3,10,1
7,1,bee,4,10,0
7,1,bee,5,10,0
7,1,bee,6,10,1
7,1,bee,7,10,1
7,1,bee,8,10,0
7,1,bee,9,10,1
7,1,bee,10,10,1
7,1,bee,11,20,0
7,1,bee,12,20,0
7,1,bee,13,20,1
7,1,bee,14,20,1
7,1,bee,15,20,1
7,1,bee,16,20,1
7,1,bee,17,20,0
7,1,bee,18,20,0
7,1,bee,19,20,1
7,1,bee,20,20,1
7,1,bee,21,30,1
7,1,bee,22,30,0
7,1,bee,23,30,1
7,1,bee,24,30,1
7,1,bee,25,30,1
7,1,bee,26,30,0
7,1,bee,27,30,1
7,1,bee,28,30,1
7,1,bee,29,30,1
7,1,bee,30,30,1
7,1,bee,31,40,1
7,1,bee,32,40,0
7,1,bee,33,40,1
7,1,bee,34,40,1
7,1,bee,35,40,1
7,1,bee,36,40,1
7,1,bee,37,40,0
7,1,bee,38,40,1
7,1,bee,39,40,1
7,1,bee,40,40,1
7,1,bee,41,50,0
7,1,bee,42,50,0
7,1,bee,43,50,1
7,1,bee,44,50,1
7,1,bee,45,50,1
7,1,bee,46,50,1
7,1,bee,47,50,0
7,1,bee,48,50,0
7,1,bee,49,50,0
7,1,bee,50,50,0
7,1,bee,51,60,0
7,1,bee,52,60,1
7,1,bee,53,60,0
7,1,bee,54,60,0
7,1,bee,55,60,1
7,1,bee,56,60,0
7,1,bee,57,60,0
7,1,bee,58,60,0
7,1,bee,59,60,1
7,1,bee,60,60,0
7,1,bee,61,70,1
7,1,bee,62,70,0
7,1,bee,63,70,1
7,1,bee,64,70,1
7,1,bee,65,70,1
7,1,bee,66,70,1
7,1,bee,67,70,1
7,1,bee,68,70,1
7,1,bee,69,70,1
7,1,bee,70,70,1
8,1,bee,1,10,0
8,1,bee,2,10,0
8,1,bee,3,10,1
8,1,bee,4,10,1
8,1,bee,5,10,0
8,1,bee,6,10,0
8,1,bee,7,10,0
8,1,bee,8,10,0
8,1,bee,9,10,1
8,1,bee,10,10,0
8,1,bee,11,20,0
8,1,bee,12,20,0
8,1,bee,13,20,0
8,1,bee,14,20,0
8,1,bee,15,20,0
8,1,bee,16,20,1
8,1,bee,17,20,1
8,1,bee,18,20,1
8,1,bee,19,20,0
8,1,bee,20,20,1
8,1,bee,21,30,1
8,1,bee,22,30,0
8,1,bee,23,30,1
8,1,bee,24,30,1
8,1,bee,25,30,0
8,1,bee,26,30,0
8,1,bee,27,30,0
8,1,bee,28,30,1
8,1,bee,29,30,0
8,1,bee,30,30,1
8,1,bee,31,40,1
8,1,bee,32,40,0
8,1,bee,33,40,0
8,1,bee,34,40,0
8,1,bee,35,40,1
8,1,bee,36,40,0
8,1,bee,37,40,1
8,1,bee,38,40,1
8,1,bee,39,40,1
8,1,bee,40,40,1
8,1,bee,41,50,0
8,1,bee,42,50,0
8,1,bee,43,50,1
8,1,bee,44,50,1
8,1,bee,45,50,1
8,1,bee,46,50,1
8,1,bee,47,50,0
8,1,bee,48,50,0
8,1,bee,49,50,1
8,1,bee,50,50,0
8,1,bee,51,60,0
8,1,bee,52,60,0
8,1,bee,53,60,1
8,1,bee,54,60,1
8,1,bee,55,60,0
8,1,bee,56,60,0
8,1,bee,57,60,1
8,1,bee,58,60,1
8,1,bee,59,60,1
8,1,bee,60,60,0
8,1,bee,61,70,1
8,1,bee,62,70,0
8,1,bee,63,70,0
8,1,bee,64,70,0
8,1,bee,65,70,1
8,1,bee,66,70,1
8,1,bee,67,70,0
8,1,bee,68,70,1
8,1,bee,69,70,0
8,1,bee,70,70,1
9,1,bee,1,10,0
9,1,bee,2,10,0
9,1,bee,3,10,0
9,1,bee,4,10,0
9,1,bee,5,10,1
9,1,bee,6,10,1
9,1,bee,7,10,0
9,1,bee,8,10,0
9,1,bee,9,10,1
9,1,bee,10,10,0
9,1,bee,11,20,0
9,1,bee,12,20,1
9,1,bee,13,20,1
9,1,bee,14,20,1
9,1,bee,15,20,1
9,1,bee,16,20,1
9,1,bee,17,20,1
9,1,bee,18,20,1
9,1,bee,19,20,1
9,1,bee,20,20,1
9,1,bee,21,30,1
9,1,bee,22,30,1
9,1,bee,23,30,1
9,1,bee,24,30,1
9,1,bee,25,30,0
9,1,bee,26,30,1
9,1,bee,27,30,1
9,1,bee,28,30,1
9,1,bee,29,30,1
9,1,bee,30,30,1
9,1,bee,31,40,0
9,1,bee,32,40,1
9,1,bee,33,40,1
9,1,bee,34,40,1
9,1,bee,35,40,1
9,1,bee,36,40,1
9,1,bee,37,40,1
9,1,bee,38,40,1
9,1,bee,39,40,1
9,1,bee,40,40,1
9,1,bee,41,50,1
9,1,bee,42,50,1
9,1,bee,43,50,0
9,1,bee,44,50,1
9,1,bee,45,50,0
9,1,bee,46,50,1
9,1,bee,47,50,0
9,1,bee,48,50,1
9,1,bee,49,50,1
9,1,bee,50,50,1
9,1,bee,51,60,1
9,1,bee,52,60,1
9,1,bee,53,60,1
9,1,bee,54,60,1
9,1,bee,55,60,0
9,1,bee,56,60,1
9,1,bee,57,60,1
9,1,bee,58,60,1
9,1,bee,59,60,1
9,1,bee,60,60,1
9,1,bee,61,70,1
9,1,bee,62,70,1
9,1,bee,63,70,0
9,1,bee,64,70,0
9,1,bee,65,70,1
9,1,bee,66,70,0
9,1,bee,67,70,1
9,1,bee,68,70,1
9,1,bee,69,70,1
9,1,bee,70,70,1
10,1,bee,1,10,0
10,1,bee,2,10,1
10,1,bee,3,10,1
10,1,bee,4,10,0
10,1,bee,5,10,0
10,1,bee,6,10,0
10,1,bee,7,10,1
10,1,bee,8,10,0
10,1,bee,9,10,0
10,1,bee,10,10,0
10,1,bee,11,20,0
10,1,bee,12,20,0
10,1,bee,13,20,1
10,1,bee,14,20,0
10,1,bee,15,20,1
10,1,bee,16,20,0
10,1,bee,17,20,1
10,1,bee,18,20,1
10,1,bee,19,20,1
10,1,bee,20,20,0
10,1,bee,21,30,1
10,1,bee,22,30,1
10,1,bee,23,30,0
10,1,bee,24,30,1
10,1,bee,25,30,1
10,1,bee,26,30,0
10,1,bee,27,30,0
10,1,bee,28,30,1
10,1,bee,29,30,1
10,1,bee,30,30,1
10,1,bee,31,40,1
10,1,bee,32,40,1
10,1,bee,33,40,1
10,1,bee,34,40,1
10,1,bee,35,40,1
10,1,bee,36,40,0
10,1,bee,37,40,0
10,1,bee,38,40,1
10,1,bee,39,40,1
10,1,bee,40,40,0
10,1,bee,41,50,1
10,1,bee,42,50,1
10,1,bee,43,50,1
10,1,bee,44,50,1
10,1,bee,45,50,1
10,1,bee,46,50,0
10,1,bee,47,50,1
10,1,bee,48,50,0
10,1,bee,49,50,1
10,1,bee,50,50,1
10,1,bee,51,60,1
10,1,bee,52,60,0
10,1,bee,53,60,1
10,1,bee,54,60,1
10,1,bee,55,60,0
10,1,bee,56,60,0
10,1,bee,57,60,1
10,1,bee,58,60,1
10,1,bee,59,60,1
10,1,bee,60,60,1
10,1,bee,61,70,1
10,1,bee,62,70,1
10,1,bee,63,70,0
10,1,bee,64,70,1
10,1,bee,65,70,0
10,1,bee,66,70,0
10,1,bee,67,70,1
10,1,bee,68,70,1
10,1,bee,69,70,0
10,1,bee,70,70,1
11,1,bee,1,10,1
11,1,bee,2,10,1
11,1,bee,3,10,0
11,1,bee,4,10,1
11,1,bee,5,10,0
11,1,bee,6,10,1
11,1,bee,7,10,1
11,1,bee,8,10,1
11,1,bee,9,10,0
11,1,bee,10,10,1
11,1,bee,11,20,1
11,1,bee,12,20,1
11,1,bee,13,20,1
11,1,bee,14,20,0
11,1,bee,15,20,1
11,1,bee,16,20,1
11,1,bee,17,20,1
11,1,bee,18,20,1
11,1,bee,19,20,1
11,1,bee,20,20,1
11,1,bee,21,30,1
11,1,bee,22,30,1
11,1,bee,23,30,0
11,1,bee,24,30,1
11,1,bee,25,30,1
11,1,bee,26,30,0
11,1,bee,27,30,1
11,1,bee,28,30,1
11,1,bee,29,30,1
11,1,bee,30,30,0
11,1,bee,31,40,0
11,1,bee,32,40,1
11,1,bee,33,40,1
11,1,bee,34,40,1
11,1,bee,35,40,1
11,1,bee,36,40,1
11,1,bee,37,40,1
11,1,bee,38,40,1
11,1,bee,39,40,1
11,1,bee,40,40,0
11,1,bee,41,50,1
11,1,bee,42,50,0
11,1,bee,43,50,1
11,1,bee,44,50,1
11,1,bee,45,50,1
11,1,bee,46,50,1
11,1,bee,47,50,0
11,1,bee,48,50,1
11,1,bee,49,50,0
11,1,bee,50,50,0
11,1,bee,51,60,1
11,1,bee,52,60,1
11,1,bee,53,60,1
11,1,bee,54,60,0
11,1,bee,55,60,1
11,1,bee,56,60,1
11,1,bee,57,60,1
11,1,bee,58,60,1
11,1,bee,59,60,1
11,1,bee,60,60,0
11,1,bee,61,70,0
11,1,bee,62,70,1
11,1,bee,63,70,1
11,1,bee,64,70,0
11,1,bee,65,70,1
11,1,bee,66,70,0
11,1,bee,67,70,1
11,1,bee,68,70,1
11,1,bee,69,70,0
11,1,bee,70,70,1
12,1,bee,1,10,1
12,1,bee,2,10,1
12,1,bee,3,10,1
12,1,bee,4,10,1
12,1,bee,5,10,1
12,1,bee,6,10,1
12,1,bee,7,10,1
12,1,bee,8,10,1
12,1,bee,9,10,1
12,1,bee,10,10,0
12,1,bee,11,20,1
12,1,bee,12,20,1
12,1,bee,13,20,1
12,1,bee,14,20,1
12,1,bee,15,20,0
12,1,bee,16,20,1
12,1,bee,17,20,1
12,1,bee,18,20,1
12,1,bee,19,20,1
12,1,bee,20,20,1
12,1,bee,21,30,1
12,1,bee,22,30,1
12,1,bee,23,30,1
12,1,bee,24,30,1
12,1,bee,25,30,1
12,1,bee,26,30,0
12,1,bee,27,30,1
12,1,bee,28,30,1
12,1,bee,29,30,1
12,1,bee,30,30,1
12,1,bee,31,40,0
12,1,bee,32,40,0
12,1,bee,33,40,1
12,1,bee,34,40,1
12,1,bee,35,40,1
12,1,bee,36,40,1
12,1,bee,37,40,1
12,1,bee,38,40,1
12,1,bee,39,40,1
12,1,bee,40,40,1
12,1,bee,41,50,0
12,1,bee,42,50,1
12,1,bee,43,50,0
12,1,bee,44,50,1
12,1,bee,45,50,0
12,1,bee,46,50,1
12,1,bee,47,50,1
12,1,bee,48,50,1
12,1,bee,49,50,0
12,1,bee,50,50,1
12,1,bee,51,60,1
12,1,bee,52,60,0
12,1,bee,53,60,0
12,1,bee,54,60,1
12,1,bee,55,60,0
12,1,bee,56,60,1
12,1,bee,57,60,1
12,1,bee,58,60,1
12,1,bee,59,60,0
12,1,bee,60,60,1
12,1,bee,61,70,0
12,1,bee,62,70,0
12,1,bee,63,70,1
12,1,bee,64,70,1
12,1,bee,65,70,1
12,1,bee,66,70,1
12,1,bee,67,70,0
12,1,bee,68,70,1
12,1,bee,69,70,1
12,1,bee,70,70,1
1,2,wasp,1,10,0
1,2,wasp,2,10,0
1,2,wasp,3,10,1
1,2,wasp,4,10,0
1,2,wasp,5,10,0
1,2,wasp,6,10,1
1,2,wasp,7,10,0
1,2,wasp,8,10,0
1,2,wasp,9,10,0
1,2,wasp,10,10,1
1,2,wasp,11,20,1
1,2,wasp,12,20,1
1,2,wasp,13,20,1
1,2,wasp,14,20,1
1,2,wasp,15,20,1
1,2,wasp,16,20,1
1,2,wasp,17,20,0
1,2,wasp,18,20,1
1,2,wasp,19,20,0
1,2,wasp,20,20,1
1,2,wasp,21,30,1
1,2,wasp,22,30,0
1,2,wasp,23,30,1
1,2,wasp,24,30,1
